episode,reward,moving_average_100
869,-200.0,-166.02
870,-200.0,-166.02
871,-164.0,-165.71
872,-105.0,-165.18
873,-110.0,-165.11
874,-164.0,-165.15
875,-172.0,-165.38
876,-113.0,-165.06
877,-185.0,-164.91
878,-175.0,-164.75
879,-136.0,-164.11
880,-172.0,-164.65
881,-105.0,-163.7
882,-119.0,-164.0
883,-200.0,-164.27
884,-200.0,-164.98
885,-89.0,-164.25
886,-168.0,-163.93
887,-185.0,-163.96
888,-129.0,-164.18
889,-184.0,-165.07
890,-161.0,-164.68
891,-88.0,-164.05
892,-200.0,-164.05
893,-152.0,-163.57
894,-136.0,-162.93
895,-112.0,-162.5
896,-200.0,-162.5
897,-158.0,-162.12
898,-181.0,-162.05
899,-159.0,-161.84
900,-171.0,-161.91
901,-147.0,-161.38
902,-110.0,-160.53
903,-152.0,-160.22
904,-120.0,-159.87
905,-109.0,-158.96
906,-84.0,-157.8
907,-84.0,-157.2
908,-148.0,-156.68
909,-161.0,-157.39
910,-165.0,-157.64
911,-109.0,-157.87
912,-175.0,-157.8
913,-118.0,-157.48
914,-156.0,-157.04
915,-200.0,-157.04
916,-105.0,-156.86
917,-200.0,-156.86
918,-158.0,-156.44
919,-111.0,-155.55
920,-113.0,-154.68
921,-134.0,-154.57
922,-164.0,-154.82
923,-118.0,-154.44
924,-139.0,-154.7
925,-104.0,-154.21
926,-149.0,-153.93
927,-159.0,-153.52
928,-107.0,-152.77
929,-108.0,-153.0
930,-176.0,-153.46
931,-111.0,-152.57
932,-116.0,-152.71
933,-122.0,-151.93
934,-139.0,-151.43
935,-85.0,-150.71
936,-103.0,-149.9
937,-200.0,-149.9
938,-104.0,-148.94
939,-111.0,-148.35
940,-88.0,-147.23
941,-116.0,-147.44
942,-134.0,-146.78
943,-116.0,-145.94
944,-167.0,-145.61
945,-154.0,-145.59
946,-109.0,-145.1
947,-93.0,-144.28
948,-170.0,-144.61
949,-200.0,-144.61
950,-171.0,-145.45
951,-200.0,-146.56
952,-169.0,-146.25
953,-120.0,-145.45
954,-172.0,-146.27
955,-143.0,-145.7
956,-200.0,-146.57
957,-86.0,-145.74
958,-160.0,-145.34
959,-88.0,-144.22
960,-172.0,-144.25
961,-141.0,-144.45
962,-106.0,-144.31
963,-147.0,-144.72
964,-106.0,-143.78
965,-200.0,-143.78
966,-131.0,-143.65
967,-88.0,-142.53
968,-114.0,-142.28
969,-105.0,-141.33
970,-185.0,-141.18
971,-149.0,-141.03
972,-113.0,-141.11
973,-122.0,-141.23
974,-96.0,-140.55
975,-118.0,-140.01
976,-124.0,-140.12
977,-144.0,-139.71
978,-146.0,-139.42
979,-174.0,-139.8
980,-149.0,-139.57
981,-106.0,-139.58
982,-146.0,-139.85
983,-200.0,-139.85
984,-200.0,-139.85
985,-112.0,-140.08
986,-140.0,-139.8
987,-152.0,-139.47
988,-131.0,-139.49
989,-119.0,-138.84
990,-151.0,-138.74
991,-148.0,-139.34
992,-145.0,-138.79
993,-181.0,-139.08
994,-143.0,-139.15
995,-187.0,-139.9
996,-194.0,-139.84
997,-125.0,-139.51
998,-161.0,-139.31
999,-175.0,-139.47
1000,-108.0,-138.84
1001,-94.0,-138.31
1002,-97.0,-138.18
1003,-107.0,-137.73
1004,-122.0,-137.75
1005,-176.0,-138.42
1006,-172.0,-139.3
1007,-200.0,-140.46
1008,-151.0,-140.49
1009,-167.0,-140.55
1010,-84.0,-139.74
1011,-87.0,-139.52
1012,-108.0,-138.85
1013,-114.0,-138.81
1014,-122.0,-138.47
1015,-116.0,-137.63
1016,-146.0,-138.04
1017,-139.0,-137.43
1018,-172.0,-137.57
1019,-84.0,-137.3
1020,-84.0,-137.01
1021,-200.0,-137.67
1022,-90.0,-136.93
1023,-154.0,-137.29
1024,-157.0,-137.47
1025,-91.0,-137.34
1026,-194.0,-137.79
1027,-133.0,-137.53
1028,-174.0,-138.2
1029,-136.0,-138.48
1030,-175.0,-138.47
1031,-119.0,-138.55
1032,-93.0,-138.32
1033,-173.0,-138.83
1034,-86.0,-138.3
1035,-149.0,-138.94
1036,-190.0,-139.81
1037,-103.0,-138.84
1038,-138.0,-139.18
1039,-161.0,-139.68
1040,-98.0,-139.78
1041,-114.0,-139.76
1042,-194.0,-140.36
1043,-150.0,-140.7
1044,-135.0,-140.38
1045,-197.0,-140.81
1046,-146.0,-141.18
1047,-200.0,-142.25
1048,-129.0,-141.84
1049,-114.0,-140.98
1050,-84.0,-140.11
1051,-144.0,-139.55
1052,-108.0,-138.94
1053,-144.0,-139.18
1054,-120.0,-138.66
1055,-118.0,-138.41
1056,-140.0,-137.81
1057,-162.0,-138.57
1058,-200.0,-138.97
1059,-123.0,-139.32
1060,-200.0,-139.6
1061,-155.0,-139.74
1062,-200.0,-140.68
1063,-150.0,-140.71
1064,-121.0,-140.86
1065,-99.0,-139.85
